,Datetime,Tweet Id,Text,Username
23,2022-06-13 08:50:00+00:00,1536269643689742341,"#AmberHeard was slammed on social media for taking a private jet after her lawyer claimed that she cannot afford to pay USD 10 million in damages to #JohnnyDepp

https://t.co/0h7f3c0V67",JagranEnglish
24,2022-06-13 08:49:00+00:00,1536269394401185793,#AmberHeard = #Palestine. #JohnnyDepp = #Israel. If only Israel had #CamilleVazquez as her defender. #DeppHeardTrial https://t.co/6bmnA7AVjN,Oritar
25,2022-06-13 08:47:27+00:00,1536269001231421440,"Did Eminem made a diss about Amber Heard? 😂😂 #Eminem #AmberHeard #JohnnyDepp #justiceforjohnnydepp #AbuseHasNoGender #AmberHeardlsALiar 

EMINEM - “AMBER” (Amber Heard Diss) https://t.co/Dy3izMN8cb via @YouTube",Em311990
26,2022-06-13 08:46:17+00:00,1536268709085315072,Plummits my ass! #WeLoveYouJohnny #JohnnyDepp https://t.co/MenNcNtGRQ,worldwelivein20
27,2022-06-13 08:45:54+00:00,1536268614885687296,21 Jump Street- Season 2: Episode 13- A Big Disease With A Little Name is by far one of the most heartbreaking episodes in the whole series. “It’s okay about the milk.” Omg 😭😭😭💔💔💔 Hanson… #JohnnyDepp #21JumpStreet #TomHanson #IStandWithJohnnyDepp https://t.co/0Rnp63sGKd,deppscheekbones
28,2022-06-13 08:44:54+00:00,1536268360320679936,Why not just throw out a dream into the universe? I would love for #johnnydepp to be the lead in my feature. We will see what the universe does now.,K_McKerrington
29,2022-06-13 08:42:39+00:00,1536267795826089985,"😂😂Had never seen this before
#JohnnyDepp &amp; the dwarf 😂😂
Part 1 - part 2 in comments https://t.co/3wNT1RaBVW",xJustBelieve
30,2022-06-13 08:42:04+00:00,1536267648740524032,"@Barbara90006524 @Victoriamary It's time to let things go and follow #JohnnyDepp's example... 

L I V E  🎶 💗

Preface to ’The Time of Your Life’ (1939) by William Saroyan. https://t.co/f72N5vZIlx",AnnabelKiwiBird
31,2022-06-13 08:39:27+00:00,1536266991702614017,"Johnny Depp about AH during his trial:

""I don't hate her, because hate is a feeling and I don't feel anything for her""

Well said Johnny 👏

#JusticeForJohnnyDepp
#JohnnyDepp https://t.co/qmHO9WcFKf",HekateBlack
32,2022-06-13 08:38:39+00:00,1536266786458451969,"@ReemDepp #JohnnyDepp #JeffBeck 
That is amazing I am so happy for you guys you have no idea and proud 💚XOXO💚 THANK YOU FOR THE UPDATE....💚",JackalynnJane
33,2022-06-13 08:37:41+00:00,1536266547110588417,"@GellertDepp Difference with #JohnnyDepp is that he never claiped to be beaten so badly and yet show no injury. #AmberHeard claimed injuries that are impossible to cover up, like broken noses and busted lips, yet 'muh make-up hid it'. AH stans are clowns who lack logic every single time.",_JustBecky_
34,2022-06-13 08:37:17+00:00,1536266444408766465,"@alghaSii @kattenbarge With respect, #JohnnyDepp admitted to it, in messages and on audio. They support her account. If you missed it, you haven't paid as much attention as you should have. “Every beat of Heard’s narrative…follows well-established patterns of interpersonal violence.",IzzyVerena
35,2022-06-13 08:36:52+00:00,1536266337722449920,"#AmberTurd 's #metoo. Sherilyn Fenn #NotMe, Jennifer Grey #NotMe, Wynona Ryder #NotMe, Kate Moss #HellNotMe, Vanessa Paradis #NotMe. Amber ""these women are coming out of the woodwork"" #JohnnyDepp",joanna1717
36,2022-06-13 08:36:27+00:00,1536266236946001920,Eve Barlow wants to know why Johnny Depp is not telling his fans to stop abusing her online | MEAWW #evebarlow #JohnnyDepp  https://t.co/WZcLh4x0jL,GyrlHazel
37,2022-06-13 08:36:23+00:00,1536266219413807104,@LuisaMora1967 @Manuelayaiza777 @cesramirz @JaninaSamhain @Itzthelilthings @ravaiolipatty11 @Nayecuevas9 @roaringrapids22 @smlvs73 @AmandaW247 Emma Danoff witnessed the whole incident with JD &amp; Gregg Brooks and has given a sworn declaration on JD's behalf.  Court date for this jury trial will be July 25 2022 &amp; Camille will represent Johnny again!! #JusticeForJohnnyDepp #JohnnyDeppIsInnocent #JohnnyDepp,55_sophya
38,2022-06-13 08:35:29+00:00,1536265993667989504,"Its cuz #JohnnyDepp never claimed absurd things while #AmberHeard claims to be beaten sooo badly yet doesnt have a scratch. Claips busted lips, broken noses and heavy bruises, again, no evidence of it. Thats a big difference, you clown. 🤡

#MenToo #Ambeheardisaliar https://t.co/FV5stUGIX4",_JustBecky_
